source_name,author,date,title,description,content
Breitbart News,"Paul Bois, Paul Bois",2023-10-09,Elon Musk Deletes Several Tweets After Promoting Two Pro-Hamas Accounts,Elon Musk deleted several posts on his platform after he promoted two accounts that had previously spread pro-Hamas rhetoric.,"Billionaire and X owner Elon Musk deleted several posts on his platform after he promoted two accounts that had previously spread pro-Hamas rhetoric amid the attack on Israel.
Over the weekend, duri… [+3330 chars]"
NBC News,Reuters,2023-09-29,Elon Musk wades into U.S. immigration debate at Texas-Mexico border,"Billionaire Elon Musk waded into the U.S. immigration debate on Thursday, paying a visit to the Texas border with Mexico to meet with local politicians and law enforcement and obtain what he called an “unfiltered” view of the situation.","EAGLE PASS, Texas Billionaire Elon Musk waded into the U.S. immigration debate on Thursday, paying a visit to the Texas border with Mexico to meet with local politicians and law enforcement and obtai… [+2585 chars]"
Fortune,Paolo Confino,2023-09-12,One of Elon Musk's favorite video games taught him the 'life lesson' that 'empathy is not an asset.' It's the opposite of what most CEOs preach,"Walter Isaacson’s new tome on the world’s richest man reveals his love for “Polytopia” and his credo to ""play life like a game.""","Elon Musks love of video games is well documented. The night he decided to buy Twitter, the social media platform now known as X, he played video games until 5:30 a.m., his biographer Walter Isaacson… [+9133 chars]"
Business Insider,Charles R. Davis,2023-09-29,Elon Musk attacked German support for migrants and promoted a call to support a far-right extremist political party,"Elon Musk appears unhappy that the German government provided a little more than $2 million to groups that aid migrants, include one that conducts search-and-rescue operations.","Elon Musk.Chesnot via Getty Images
<ul><li>Germany has responded to an attack from Elon Musk, saying it's ""saving lives"" by helping migrants.</li><li>The billionaire had promoted the claim that Germ… [+5332 chars]"
Business Insider,"Grace Kay,Grace Dean",2023-09-12,"Elon Musk 'associates love with being mean or abusive,' Grimes told biographer Walter Isaacson","""When we hang out, I make sure I'm with the right Elon,"" Grimes told Elon Musk biographer Walter Isaacson. ""There are guys in that head who don't like me.""","Grimes told Walter Isaacson that Elon Musk ""associates love with being mean or abusive"" because of his father.Theo Wargo/Getty Images
<ul>
<li>Elon Musk ""associates love with being mean or abusive"" … [+4780 chars]"
Fortune,Lionel Lim,2023-10-09,Tesla's China sales are falling compared to its rival BYD—and the drop could have been worse without its price war,"Tesla reported disappointing quarterly deliveries last week, and now new data shows a decline in sales in one of its most important overseas markets.","Now, new data from one of Teslas most important overseas markets shows the sales challenge facing the electric carmaker. 
Tesla delivered just over 74,000 China-made electric cars in September, acco… [+3311 chars]"
Wired,Aarian Marshall,2023-09-21,How Elon Musk and Tesla Helped Spark the UAW Auto Strikes,Tesla isn't involved in the UAW strike at Detroit’s Big Three automakers. But the EV maker and its irrepressible CEO had plenty to do with why the walkouts happened.,"Elon Musk hasnt been sighted at the picket lines in Missouri, Ohio, or Michigan, where autoworkers are striking against the Big Three US carmakers. Yet the influence of Musk and his non-unionized com… [+2863 chars]"
TechRadar,Leon Poultney,2023-10-04,"Tesla Model Y drops to lowest-ever price, but how long will you have to wait?","Tesla introduces a Model Y RWD model with a base price of only $43,990","Despite reports that Tesla experienced a bigger-than-expected drop in third-quarter deliveries, causing its share price to fall slightly, the company has hit back with the cheapest Model Y to date.
… [+2154 chars]"
Reuters,Reuters,2023-10-08,Tesla's China-made EV sales volume fall 10.9% y/y in Sept,"U.S. automaker Tesla <a href=""https://www.reuters.com/markets/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a> sold 74,073 China-made electric vehicles (EVs) in September, a 10.9% decrease from a year earlier, showed data from the China Passenger Car Associatio…","BEIJING/SHANGHAI, Oct 8 (Reuters) - U.S. automaker Tesla (TSLA.O) sold 74,073 China-made electric vehicles (EVs) in September, a 10.9% decrease from a year earlier, showed data from the China Passeng… [+1654 chars]"
Fortune,Rachyl Jones,2023-09-12,"What do donkeys, dragons and Hawaii have in common? They all play a role in Elon Musk buying Twitter.","Musk’s purchase of Twitter fed his constant need to reach the next level, according to biographer.","Elon Musk lives for the drama. Thats evident in how he is running X, formerly known as Twitter. But before he challenged Mark Zuckerbeg to a cage fight, before he erected a glowing X on top of the co… [+5076 chars]"
Business Insider,Lakshmi Varanasi,2023-09-24,AOC says she's looking to trade in her Tesla for a union-made EV after clash with Elon Musk,AOC reiterated on Face the Nation on Sunday that she wants to trade in her Tesla for a union-made EV.,"Rep. Alexandria Ocasio-Cortez once again said she wants to trade in her Tesla for a union-made EV.Tom Williams/CQ Roll Call
<ul>
<li>AOC said on Face the Nation on Sunday that she wants to trade in … [+1651 chars]"
IGN,Ryan Dinsdale,2023-09-26,"Elon Musk Was Never in Cyberpunk 2077, CD Projekt Dev Says, Despite Him Demanding a Cameo","Elon Musk was never in Cyberpunk 2077 according to one CD Projekt Red developer, despite the Tesla and X boss demanding a cameo.","Elon Musk was never in Cyberpunk 2077 according to one CD Projekt Red developer, despite the Tesla and X boss demanding a cameo.
Cyberpunk 2077 senior quest designer Patrick K. Mills said the widely… [+2053 chars]"
