source_name,author,date,title,description,content
Business Insider,ssheth@businessinsider.com (Sonam Sheth),2023-09-12,"Elon Musk learned hypnosis as a child and managed to convince his sister that she was a dog and to eat raw bacon, a new book says","Elon Musk learned magic tricks and hypnosis as a kid and once used it on his little sister, according to a new biography about the SpaceX and Tesla CEO.","When Elon Musk was a kid, he learned hypnosis and convinced his younger sister that she was a dog and persuaded her to eat raw bacon.
That's according to a new biography, ""Elon Musk,"" by the author … [+938 chars]"
Fortune,Paige Hagy,2023-09-12,Elon Musk lives life like he’s playing a video game—from ‘demon mode” to gleaning life lessons from ‘Polytopia’,"""Elon Musk,"" a biography that recounts the childhood, career, and personal life of the billionaire, hit shelves on Tuesday.","Elon Musk had just finished playing a video game with Grimes when he made his offer to buy Twitter in April 2022. He and the musician, with whom he has three children, had stayed up until 5 a.m. play… [+4623 chars]"
CNN,Paul Glader,2023-09-12,Four takeaways from Walter Isaacson's biography of Elon Musk,"""You'll never be successful,"" Errol Musk in 1989 told his 17-year-old son Elon, who was then preparing to fly from South Africa to Canada to find relatives and a college education.","Youll never be successful, Errol Musk in 1989 told his 17-year-old son Elon, who was then preparing to fly from South Africa to Canada to find relatives and a college education. 
Thats one of the sc… [+8393 chars]"
Business Insider,Grace Dean,2023-09-12,"After Elon Musk spoke to Neuralink director Shivon Zilis about his population decline fears, she decided to have children. He suggested being her sperm donor.","Zilis said that choosing to have Musk as a sperm donor was an ""easy decision"" because she admires him more than anyone else on earth.","nullChesnot/Getty Images
<ul><li>Elon Musk and Shivon Zilis decided to have children together after he spoke to her about population decline.</li><li>The tech mogul and Zilis, currently a Neuralink … [+3391 chars]"
Financial Post,Bloomberg News,2023-09-12,"Tesla gets $80-billion boost from analyst call, but not everyone buys it",Some investors find Tesla Inc.'s $500-billion projection from Morgan Stanley 'outlandish' given its already high valuation. Find out more.,"Some investors find the $500-billion projection from Morgan Stanley 'outlandish' given its already high valuation 
Author of the article:
Tesla cars parked in a lot at the Tesla Inc. factory in Fre… [+7144 chars]"
Business Insider,Sonam Sheth,2023-09-12,"Elon Musk followed his little sister around as a teen because he didn't want to be lonely, reading books when she went to clubs or parties, biography says","Musk's younger sister, Tosca, told him that he had to ""stay ten feet away"" from her when he joined her, according to a new biography.","Tosca and Elon MuskJon Kopaloff/Getty Images // Britta Pedersen-Pool/Getty Images
<ul>
<li>Elon Musk trailed his little sister to clubs and parties when they were teenagers, according to a new book.… [+1547 chars]"
Fortune,Irina Ivanova,2023-09-12,Elon Musk sent a graphic mid-childbirth picture of Grimes to friends and family and was surprised when she got upset,"When Musk shared the photo with Grimes’ father and brothers, she said “It was his Asperger’s coming out in full.”","Elon Musk, the worlds richest man and an avid proponent of having children, was so excited when his first child with the artist Grimes was born, he sent photos of the procedure to both their families… [+3417 chars]"
Business Insider,"Grace Kay,Grace Dean",2023-09-12,"Elon Musk 'associates love with being mean or abusive,' Grimes told biographer Walter Isaacson","""When we hang out, I make sure I'm with the right Elon,"" Grimes told Elon Musk biographer Walter Isaacson. ""There are guys in that head who don't like me.""","Grimes told Walter Isaacson that Elon Musk ""associates love with being mean or abusive"" because of his father.Theo Wargo/Getty Images
<ul>
<li>Elon Musk ""associates love with being mean or abusive"" … [+4780 chars]"
Next Big Future,Brian Wang,2023-09-12,Bill Gates Tries to Profit by Driving Down Tesla Shares and is Confused by Elon Musk Anger,Bill Gates bet billions against Tesla in a method called short selling. Short selling involves borrowing a security from a broker and selling it on the open market. Short selling adds liquidity to a market by increasing the volume of buying and selling above …,Bill Gates bet billions against Tesla in a method called short selling. Short selling involves borrowing a security from a broker and selling it on the open market. Short selling adds liquidity to a … [+7361 chars]
Fox News,"Brian Flood, Nikolas Lanum",2023-09-12,"Elon Musk biography contains inaccurate tale on Russia-Ukraine war incident, author admits: 'I made a mistake'",Author Walter Isaacson admitted he made a mistake with a story about how he characterized Elon Musk,"Author Walter Isaacson acknowledged a ""mistake"" in his much-anticipated biography on Elon Musk that came out this week that characterized the tech mogul as putting his finger on the scale in favor of… [+4272 chars]"
