source_name,author,date,title,description,content,title_label,title_score,content_label,content_score,description_label,description_score
The Jerusalem Post,By REUTERS,2023-09-12,Putin hails Elon Musk as an 'outstanding person' and businessman,The Russian leader said Moscow planned to persevere with its own space program despite the failure of a mission to the Moon last month.,"Russian President Vladimir Putin on Tuesday hailed South African-born businessman Elon Musk as an ""outstanding person"" and businessman whose SpaceX company had become a major player in the space tran… [+1562 chars]",positive,0.6806164383888245,positive,0.8160322904586792,positive,0.8865401744842529
Business Insider,ssheth@businessinsider.com (Sonam Sheth),2023-09-12,"Elon Musk learned hypnosis as a child and managed to convince his sister that she was a dog and to eat raw bacon, a new book says","Elon Musk learned magic tricks and hypnosis as a kid and once used it on his little sister, according to a new biography about the SpaceX and Tesla CEO.","When Elon Musk was a kid, he learned hypnosis and convinced his younger sister that she was a dog and persuaded her to eat raw bacon.
That's according to a new biography, ""Elon Musk,"" by the author … [+938 chars]",neutral,0.9181478023529053,neutral,0.933047354221344,neutral,0.9242417216300964
ABC News,STEVE KARNOWSKI Associated Press,2023-09-12,Defense Department awards $20.6 million to proposed nickel mines in Minnesota and Michigan,The Department of Defense has awarded $20.6 million to developers of the proposed Talon nickel mine in Minnesota under a program to strengthen domestic supply chains for critical minerals,MINNEAPOLIS -- The Department of Defense on Tuesday awarded $20.6 million to developers of the proposed Talon nickel mine in Minnesota under a program to strengthen domestic supply chains for critica… [+3547 chars],positive,0.9120917320251465,positive,0.9074741005897522,positive,0.9370574951171875
Fortune,Paige Hagy,2023-09-12,Elon Musk lives life like he’s playing a video game—from ‘demon mode” to gleaning life lessons from ‘Polytopia’,"""Elon Musk,"" a biography that recounts the childhood, career, and personal life of the billionaire, hit shelves on Tuesday.","Elon Musk had just finished playing a video game with Grimes when he made his offer to buy Twitter in April 2022. He and the musician, with whom he has three children, had stayed up until 5 a.m. play… [+4623 chars]",neutral,0.929564356803894,neutral,0.9323236346244812,neutral,0.8866493105888367
CNN,Paul Glader,2023-09-12,Four takeaways from Walter Isaacson's biography of Elon Musk,"""You'll never be successful,"" Errol Musk in 1989 told his 17-year-old son Elon, who was then preparing to fly from South Africa to Canada to find relatives and a college education.","Youll never be successful, Errol Musk in 1989 told his 17-year-old son Elon, who was then preparing to fly from South Africa to Canada to find relatives and a college education. 
Thats one of the sc… [+8393 chars]",neutral,0.9254870414733887,neutral,0.88169264793396,neutral,0.6470727324485779
Business Insider,Joseph Wilkins,2023-09-12,Warren Buffett's Berkshire Hathaway sees its market value surge to a new record of almost $800 billion,"Monday's movements means that Buffett has now administered a more-than 4,300,000% gain in the value of Berkshire shares since he became CEO in 1965.","Warren Buffett, chairman and CEO of Berkshire Hathaway, right, listens to Microsoft founder and Berkshire board member Bill Gates during an interview with Liz Claman of the Fox Business Network in Om… [+2143 chars]",positive,0.910305380821228,neutral,0.9313235282897949,positive,0.8532516360282898
Business Insider,"Grace Kay,Grace Dean",2023-09-12,"Elon Musk 'associates love with being mean or abusive,' Grimes told biographer Walter Isaacson","""When we hang out, I make sure I'm with the right Elon,"" Grimes told Elon Musk biographer Walter Isaacson. ""There are guys in that head who don't like me.""","Grimes told Walter Isaacson that Elon Musk ""associates love with being mean or abusive"" because of his father.Theo Wargo/Getty Images
<ul>
<li>Elon Musk ""associates love with being mean or abusive"" … [+4780 chars]",neutral,0.5616244673728943,neutral,0.5557358860969543,neutral,0.7825674414634705
NBC News,Scott Wong and Frank Thorp V,2023-09-12,Senators seek solutions to possible AI dangers in new round of hearings,"A day before titans of Big Tech descend upon the Capitol, senators on Tuesday will hold a hearing to examine artificial intelligence legislation.","WASHINGTON A day before titans of Big Tech descend upon the Capitol, senators will hold a hearing Tuesday to examine how Congress can write legislation to protect against possible dangers posed by ar… [+2864 chars]",neutral,0.7900534272193909,neutral,0.8730049133300781,neutral,0.9107379913330078
Fortune,Rachyl Jones,2023-09-12,"What do donkeys, dragons and Hawaii have in common? They all play a role in Elon Musk buying Twitter.","Musk’s purchase of Twitter fed his constant need to reach the next level, according to biographer.","Elon Musk lives for the drama. Thats evident in how he is running X, formerly known as Twitter. But before he challenged Mark Zuckerbeg to a cage fight, before he erected a glowing X on top of the co… [+5076 chars]",neutral,0.9371562004089355,neutral,0.9418547749519348,neutral,0.8080965876579285
Financial Post,Bloomberg News,2023-09-12,Attention shoppers: Apple’s iPhone reveals are often a dip buyer’s dream,"Apple’s iPhone debuts are often sell-the-news events, but weeks following can provide an even better opportunity to buy the dip. Read more","Analysts say good chance of October and year-end rally 
Author of the article:
Apples event is scheduled to kick off on Tuesday at 10 a.m. in California and feature the iPhone 15 line, along with n… [+5957 chars]",neutral,0.8316689133644104,neutral,0.7053619027137756,neutral,0.9304865598678589
