source_name,author,date,title,description,content,title_desc,one_shot_class,tesla_related,label
Fortune,Jane Thier,2023-09-12,How Elon Musk lost a friend over AI: Google co-founder Larry Page just 'refused to hang out' after the Tesla CEO stole his top worker,"After Musk tried to sabotage Googles acquisition of DeepMind, he poached one of Pages most valuable scientists to OpenAI with a $1.9 million salary.","Teslas Elon Musk and Googles Larry Page dont talk anymore. Thats what it says, definitively, in Walter Isaacsons biography of Musk, published Tuesday. Musk detailed his falling out with Google co-fou [+4842 chars]","How Elon Musk lost a friend over AI: Google co-founder Larry Page just 'refused to hang out' after the Tesla CEO stole his top worker After Musk tried to sabotage Googles acquisition of DeepMind, he poached one of Pages most valuable scientists to OpenAI with a $1.9 million salary.",yes,yes,neutral
CNN,Paul Glader,2023-09-12,Four takeaways from Walter Isaacson's biography of Elon Musk,"""You'll never be successful,"" Errol Musk in 1989 told his 17-year-old son Elon, who was then preparing to fly from South Africa to Canada to find relatives and a college education.","Youll never be successful, Errol Musk in 1989 told his 17-year-old son Elon, who was then preparing to fly from South Africa to Canada to find relatives and a college education. 
Thats one of the sc [+8393 chars]","Four takeaways from Walter Isaacson's biography of Elon Musk ""You'll never be successful,"" Errol Musk in 1989 told his 17-year-old son Elon, who was then preparing to fly from South Africa to Canada to find relatives and a college education.",no,,
Business Insider,Grace Dean,2023-09-12,"After Elon Musk spoke to Neuralink director Shivon Zilis about his population decline fears, she decided to have children. He suggested being her sperm donor.","Zilis said that choosing to have Musk as a sperm donor was an ""easy decision"" because she admires him more than anyone else on earth.","nullChesnot/Getty Images
<ul><li>Elon Musk and Shivon Zilis decided to have children together after he spoke to her about population decline.</li><li>The tech mogul and Zilis, currently a Neuralink  [+3391 chars]","After Elon Musk spoke to Neuralink director Shivon Zilis about his population decline fears, she decided to have children. He suggested being her sperm donor. Zilis said that choosing to have Musk as a sperm donor was an ""easy decision"" because she admires him more than anyone else on earth.",no,,
Financial Post,Bloomberg News,2023-09-12,"Tesla gets $80-billion boost from analyst call, but not everyone buys it",Some investors find Tesla Inc.'s $500-billion projection from Morgan Stanley 'outlandish' given its already high valuation. Find out more.,"Some investors find the $500-billion projection from Morgan Stanley 'outlandish' given its already high valuation 
Author of the article:
Tesla cars parked in a lot at the Tesla Inc. factory in Fre [+7144 chars]","Tesla gets $80-billion boost from analyst call, but not everyone buys it Some investors find Tesla Inc.'s $500-billion projection from Morgan Stanley 'outlandish' given its already high valuation. Find out more.",yes,,
CNN,"Catherine Thorbecke, CNN",2023-09-12,Tesla shares jump after Morgan Stanley predicts Dojo supercomputer could add $500 billion in market value,"Teslas Dojo supercomputer could fuel a $500 billion jump in the electric vehicle makers market value, analysts at Morgan Stanley said in a note Monday.","Teslas Dojo supercomputer could fuel a $500 billion jump in the electric vehicle makers market value, analysts at Morgan Stanley said in a note Monday.
Shares of Tesla jumped more than 6% during ear [+1678 chars]","Tesla shares jump after Morgan Stanley predicts Dojo supercomputer could add $500 billion in market value Teslas Dojo supercomputer could fuel a $500 billion jump in the electric vehicle makers market value, analysts at Morgan Stanley said in a note Monday.",yes,,
Fortune,Paolo Confino,2023-09-12,One of Elon Musk's favorite video games taught him the 'life lesson' that 'empathy is not an asset.' It's the opposite of what most CEOs preach,"Walter Isaacsons new tome on the worlds richest man reveals his love for Polytopia and his credo to ""play life like a game.""","Elon Musks love of video games is well documented. The night he decided to buy Twitter, the social media platform now known as X, he played video games until 5:30 a.m., his biographer Walter Isaacson [+9133 chars]","One of Elon Musk's favorite video games taught him the 'life lesson' that 'empathy is not an asset.' It's the opposite of what most CEOs preach Walter Isaacsons new tome on the worlds richest man reveals his love for Polytopia and his credo to ""play life like a game.""",no,,
ABC News (AU),Elizabeth Byrne,2023-09-12,Canberra man accused of stealing Nick Kyrgios's Tesla wants case against him to be dropped,Lawyers for the 32-year-old accused of stealing Nick Kyrgios's Tesla say police are taking too long to hand over the full brief of evidence and the case should be abandoned.,"Lawyers for a man accused of stealing a Tesla car owned by tennis star Nick Kyrgios have asked the ACT Magistrates Court to abandon the case, because police have taken too long to produce the full br [+2002 chars]",Canberra man accused of stealing Nick Kyrgios's Tesla wants case against him to be dropped Lawyers for the 32-year-old accused of stealing Nick Kyrgios's Tesla say police are taking too long to hand over the full brief of evidence and the case should be abandoned.,no,,
Fortune,Paige Hagy,2023-09-12,Elon Musk lives life like hes playing a video gamefrom demon mode to gleaning life lessons from Polytopia,"""Elon Musk,"" a biography that recounts the childhood, career, and personal life of the billionaire, hit shelves on Tuesday.","Elon Musk had just finished playing a video game with Grimes when he made his offer to buy Twitter in April 2022. He and the musician, with whom he has three children, had stayed up until 5 a.m. play [+4623 chars]","Elon Musk lives life like hes playing a video gamefrom demon mode to gleaning life lessons from Polytopia ""Elon Musk,"" a biography that recounts the childhood, career, and personal life of the billionaire, hit shelves on Tuesday.",no,,
Fox News,"Brian Flood, Nikolas Lanum",2023-09-12,"Elon Musk biography contains inaccurate tale on Russia-Ukraine war incident, author admits: 'I made a mistake'",Author Walter Isaacson admitted he made a mistake with a story about how he characterized Elon Musk,"Author Walter Isaacson acknowledged a ""mistake"" in his much-anticipated biography on Elon Musk that came out this week that characterized the tech mogul as putting his finger on the scale in favor of [+4272 chars]","Elon Musk biography contains inaccurate tale on Russia-Ukraine war incident, author admits: 'I made a mistake' Author Walter Isaacson admitted he made a mistake with a story about how he characterized Elon Musk",no,no,neutral
Business Insider,Sonam Sheth,2023-09-12,"Elon Musk followed his little sister around as a teen because he didn't want to be lonely, reading books when she went to clubs or parties, biography says","Musk's younger sister, Tosca, told him that he had to ""stay ten feet away"" from her when he joined her, according to a new biography.","Tosca and Elon MuskJon Kopaloff/Getty Images // Britta Pedersen-Pool/Getty Images
<ul>
<li>Elon Musk trailed his little sister to clubs and parties when they were teenagers, according to a new book. [+1547 chars]","Elon Musk followed his little sister around as a teen because he didn't want to be lonely, reading books when she went to clubs or parties, biography says Musk's younger sister, Tosca, told him that he had to ""stay ten feet away"" from her when he joined her, according to a new biography.",no,no,neutral
