source_name,author,date,title,description,content,label,tesla_related,tesla_related_num,sentiment_label_num,title_desc,one_shot_class,few_shot_class_2,few_shot_class_3,few_shot_class_4,few_shot_class_5
Fortune,Jane Thier,9/12/2023,How Elon Musk lost a friend over AI: Google co-founder Larry Page just 'refused to hang out' after the Tesla CEO stole his top worker,"After Musk tried to sabotage Googles acquisition of DeepMind, he poached one of Pages most valuable scientists to OpenAI with a $1.9 million salary.","Teslas Elon Musk and Googles Larry Page dont talk anymore. Thats what it says, definitively, in Walter Isaacsons biography of Musk, published Tuesday. Musk detailed his falling out with Google co-fou [+4842 chars]",neutral,yes,1,1,"How Elon Musk lost a friend over AI: Google co-founder Larry Page just 'refused to hang out' after the Tesla CEO stole his top worker After Musk tried to sabotage Googles acquisition of DeepMind, he poached one of Pages most valuable scientists to OpenAI with a $1.9 million salary.",Yes,"No, it is not related to Tesla.","Yes, it is related to Tesla.",,"No, it is not possible to tell"
Next Big Future,Brian Wang,9/12/2023,Bill Gates Tries to Profit by Driving Down Tesla Shares and is Confused by Elon Musk Anger,Bill Gates bet billions against Tesla in a method called short selling. Short selling involves borrowing a security from a broker and selling it on the open market. Short selling adds liquidity to a market by increasing the volume of buying and selling above ,Bill Gates bet billions against Tesla in a method called short selling. Short selling involves borrowing a security from a broker and selling it on the open market. Short selling adds liquidity to a  [+7361 chars],negative,yes,1,0,Bill Gates Tries to Profit by Driving Down Tesla Shares and is Confused by Elon Musk Anger Bill Gates bet billions against Tesla in a method called short selling. Short selling involves borrowing a security from a broker and selling it on the open market. Short selling adds liquidity to a market by increasing the volume of buying and selling above ,Yes,"No, it is not related to Tesla.","Yes, it is related to Tesla.","Yes, it is related to Tesla.","No, it is not possible to tell"
The Jerusalem Post,By REUTERS,9/12/2023,Putin hails Elon Musk as an 'outstanding person' and businessman,The Russian leader said Moscow planned to persevere with its own space program despite the failure of a mission to the Moon last month.,"Russian President Vladimir Putin on Tuesday hailed South African-born businessman Elon Musk as an ""outstanding person"" and businessman whose SpaceX company had become a major player in the space tran [+1562 chars]",neutral,no,0,1,Putin hails Elon Musk as an 'outstanding person' and businessman The Russian leader said Moscow planned to persevere with its own space program despite the failure of a mission to the Moon last month.,No,"No, it is not related to Tesla.",No,No,No
Fortune,Rachyl Jones,9/12/2023,"What do donkeys, dragons and Hawaii have in common? They all play a role in Elon Musk buying Twitter.","Musks purchase of Twitter fed his constant need to reach the next level, according to biographer.","Elon Musk lives for the drama. Thats evident in how he is running X, formerly known as Twitter. But before he challenged Mark Zuckerbeg to a cage fight, before he erected a glowing X on top of the co [+5076 chars]",neutral,no,0,1,"What do donkeys, dragons and Hawaii have in common? They all play a role in Elon Musk buying Twitter. Musks purchase of Twitter fed his constant need to reach the next level, according to biographer.",No,"No, it is not related to Tesla.",No,No,"No, it is not possible to tell"
Fortune,Christiaan Hetzner,9/12/2023,Elon Musks supercomputer Dojo added $70 billion to Teslas market cap. So what exactly is it?,Elon Musk's Tesla share price has jumped the equivalent of BMW Group's value after Morgan Stanley released a report on the potential of the A.I. dojo supercomputer.,"Teslas gonzo market cap is so enormous that its daily swings in value often exceed the sum total of most major automakers. On slow days it might only be the equivalent of Volvo or [hotlink]Nissan,[/h [+3926 chars]",positive,yes,1,2,Elon Musks supercomputer Dojo added $70 billion to Teslas market cap. So what exactly is it? Elon Musk's Tesla share price has jumped the equivalent of BMW Group's value after Morgan Stanley released a report on the potential of the A.I. dojo supercomputer.,Yes,Yes,"Yes, it is related to Tesla.",Yes,"Yes, it is related to Tesla."
Business Insider,Kwan Wei Kevin Tan,9/12/2023,"Elon Musk's biographer says Musk has 'multiple' personalities  he can be 'brutal,' and also 'frightening and inspiring all at once'","""This is a person with multiple moods and modes and personalities, ranging from engineering mode to demon mode,"" said Walter Isaacson.","Elon Musk.Chesnot via Getty Images
<ul><li>Elon Musk's biographer says Musk ""is a person with multiple moods and modes and personalities.""</li><li>Walter Isaacson told The Atlantic that Musk's many  [+1825 chars]",neutral,no,0,1,"Elon Musk's biographer says Musk has 'multiple' personalities  he can be 'brutal,' and also 'frightening and inspiring all at once' ""This is a person with multiple moods and modes and personalities, ranging from engineering mode to demon mode,"" said Walter Isaacson.",No,No,No,No,"No, it is not possible to tell"
Fortune,Irina Ivanova,9/12/2023,Elon Musk sent a graphic mid-childbirth picture of Grimes to friends and family and was surprised when she got upset,"When Musk shared the photo with Grimes father and brothers, she said It was his Aspergers coming out in full.","Elon Musk, the worlds richest man and an avid proponent of having children, was so excited when his first child with the artist Grimes was born, he sent photos of the procedure to both their families [+3417 chars]",neutral,no,0,1,"Elon Musk sent a graphic mid-childbirth picture of Grimes to friends and family and was surprised when she got upset When Musk shared the photo with Grimes father and brothers, she said It was his Aspergers coming out in full.",No,"No, it is not related to Tesla.","No, it is not possible to tell","No, it is not possible to tell","No, it is not possible to tell"
TechCrunch,Rebecca Bellan,9/12/2023,Tesla robotaxi concept looks like a two-seater Cybertruck,"An image of a Cybertruck-inspired Tesla robotaxi concept was revealed in the new Elon Musk biography by Walter Isaacson that launched Tuesday.  The two-door,...","An image of a Cybertruck-inspired Tesla robotaxi concept was revealed in the new Elon Musk biography by Walter Isaacson that launched Tuesday.
The two-door, two-seater, ""Cybertruck-like"" compact veh [+4724 chars]",neutral,yes,1,1,"Tesla robotaxi concept looks like a two-seater Cybertruck An image of a Cybertruck-inspired Tesla robotaxi concept was revealed in the new Elon Musk biography by Walter Isaacson that launched Tuesday.  The two-door,...",Yes,Yes,"Yes, it is related to Tesla.",Yes,"Yes, it is related to Tesla."
Business Insider,"Grace Kay,Grace Dean",9/12/2023,"Elon Musk 'associates love with being mean or abusive,' Grimes told biographer Walter Isaacson","""When we hang out, I make sure I'm with the right Elon,"" Grimes told Elon Musk biographer Walter Isaacson. ""There are guys in that head who don't like me.""","Grimes told Walter Isaacson that Elon Musk ""associates love with being mean or abusive"" because of his father.Theo Wargo/Getty Images
<ul>
<li>Elon Musk ""associates love with being mean or abusive""  [+4780 chars]",neutral,no,0,1,"Elon Musk 'associates love with being mean or abusive,' Grimes told biographer Walter Isaacson ""When we hang out, I make sure I'm with the right Elon,"" Grimes told Elon Musk biographer Walter Isaacson. ""There are guys in that head who don't like me.""",No,"No, it is not related to Tesla.",No,No,"No, it is not possible to tell"
Newsweek,Tom Norton,9/12/2023,Did Elon Musk Turn Off Starlink for Ukraine? What We Know,Excerpt from new Elon Musk biography had said the billionaire effectively thwarted a Ukrainian sub attack,"Elon Musk's involvement in the war in Ukraine was spotlighted in a new biography released on Tuesday, which claimed the world's richest man directly intervened in an attempted attack on Russian warsh [+4218 chars]",neutral,no,0,1,Did Elon Musk Turn Off Starlink for Ukraine? What We Know Excerpt from new Elon Musk biography had said the billionaire effectively thwarted a Ukrainian sub attack,No,"No, it is not related to Tesla.",No,"No, it is not possible to tell","No, it is not related to Tesla."
USA Today,"Jessica Guynn, USA TODAY",9/12/2023,Inside 'Elon Musk': Everything you need to know about the Walter Isaacson biography,"From relationships with Amber Heard and Grimes, 'demon mode' and Starlink, 'Elon Musk' offers an intimate look inside the famous billionaire's life.","Walter Isaacsons new biography, Elon Musk, that reveals new details about the private and professional lives of the worlds richest person, hit stores Tuesday.
Isaacson, 71, the bestselling author of [+10862 chars]",neutral,no,0,1,"Inside 'Elon Musk': Everything you need to know about the Walter Isaacson biography From relationships with Amber Heard and Grimes, 'demon mode' and Starlink, 'Elon Musk' offers an intimate look inside the famous billionaire's life.",No,No,No,No,No
Business Insider,Sonam Sheth,9/12/2023,"Elon Musk followed his little sister around as a teen because he didn't want to be lonely, reading books when she went to clubs or parties, biography says","Musk's younger sister, Tosca, told him that he had to ""stay ten feet away"" from her when he joined her, according to a new biography.","Tosca and Elon MuskJon Kopaloff/Getty Images // Britta Pedersen-Pool/Getty Images
<ul>
<li>Elon Musk trailed his little sister to clubs and parties when they were teenagers, according to a new book. [+1547 chars]",neutral,no,0,1,"Elon Musk followed his little sister around as a teen because he didn't want to be lonely, reading books when she went to clubs or parties, biography says Musk's younger sister, Tosca, told him that he had to ""stay ten feet away"" from her when he joined her, according to a new biography.",No,"No, it is not related to Tesla.",No,No,
Fox News,"Brian Flood, Nikolas Lanum",9/12/2023,"Elon Musk biography contains inaccurate tale on Russia-Ukraine war incident, author admits: 'I made a mistake'",Author Walter Isaacson admitted he made a mistake with a story about how he characterized Elon Musk,"Author Walter Isaacson acknowledged a ""mistake"" in his much-anticipated biography on Elon Musk that came out this week that characterized the tech mogul as putting his finger on the scale in favor of [+4272 chars]",neutral,no,0,1,"Elon Musk biography contains inaccurate tale on Russia-Ukraine war incident, author admits: 'I made a mistake' Author Walter Isaacson admitted he made a mistake with a story about how he characterized Elon Musk",No,"No, it is not related to Tesla.",No,No,"No, it is not related to Tesla."
Business Insider,Insider Inc.,9/13/2023,"Elon Musk, Mark Zuckerberg, Bill Gates and other tech names head to Washington for a closed-door meeting on policing AI","Some of the biggest tech leaders in the world, like Elon Musk and Mark Zuckerberg, gathered in Washington to discuss ways to potentially police AI.","Elon Musk, speaking outside the ""AI Insight Forum"" in Washington on Wednesday. He and other tech leaders were discussing artificial intelligence and possible government regulation.Photo by Nathan How [+3864 chars]",positive,yes,1,2,"Elon Musk, Mark Zuckerberg, Bill Gates and other tech names head to Washington for a closed-door meeting on policing AI Some of the biggest tech leaders in the world, like Elon Musk and Mark Zuckerberg, gathered in Washington to discuss ways to potentially police AI.",No,"No, it is not related to Tesla.",No,No,No
Politico,Steven Overly,9/13/2023,"Its time to regulate AI like cars and drugs, top Microsoft exec says","Microsoft President Brad Smith will join other tech leaders, including Elon Musk, Mark Zuckerberg and Sam Altman, at an artificial intelligence forum today hosted by Senate Majority Leader Chuck Schumer.","With Congress in a flurry of hearings on AI this week, Smith is among the tech leaders expected at a closed-door session with Senate Majority Leader Chuck Schumer on Wednesday, along with Elon Musk o [+3468 chars]",positive,yes,1,2,"Its time to regulate AI like cars and drugs, top Microsoft exec says Microsoft President Brad Smith will join other tech leaders, including Elon Musk, Mark Zuckerberg and Sam Altman, at an artificial intelligence forum today hosted by Senate Majority Leader Chuck Schumer.",No,"No, it is not related to Tesla.",No,No,No
Fortune,Paolo Confino,9/13/2023,"During the most concentrated pain in his life, Elon Musk saved Tesla and created 'the algorithm' that would become his manufacturing and management philosophy","Elon Musk developed ""the algorithm"" while trying to save Tesla from financial ruin and facing the darkest moment of his personal life, new biography says.","One of Elon Musks biggest accomplishments happened during what he refers to as the darkest, most difficult time in his life. In July 2017, Tesla had just introduced its Model 3 sedan, a more moderate [+7534 chars]",positive,yes,1,2,"During the most concentrated pain in his life, Elon Musk saved Tesla and created 'the algorithm' that would become his manufacturing and management philosophy Elon Musk developed ""the algorithm"" while trying to save Tesla from financial ruin and facing the darkest moment of his personal life, new biography says.",Yes,Yes,"Yes, it is related to Tesla.",Yes,"Yes, it is related to Tesla."
Business Insider,Charles R. Davis,9/13/2023,Elon Musk's control of Starlink gives him unchecked power over elected governments,There is a growing consensus that one unelected man should not decide what is or is not a legitimate military target.,"Chesnot/Getty Images
<ul>
<li>Elon Musk's control over Starlink is in the spotlight after he thwarted a Ukrainian attack.</li>
<li>Musk says he vetoed a 2022 strike on Russia's Black Sea Fleet over  [+7893 chars]",negative,no,0,0,Elon Musk's control of Starlink gives him unchecked power over elected governments There is a growing consensus that one unelected man should not decide what is or is not a legitimate military target.,No,"No, it is not related to Tesla.",No,No,No
Business Insider,Tim Levin,9/13/2023,"Mercedes-Benz's $100,000 electric SUV is an awesome Tesla rival  but its blob-like looks aren't for everyone",The Mercedes EQE SUV is an awesome alternative to Tesla's Model X with controversial style.,"The 2023 Mercedes-Benz EQE SUV brings a luxurious interior and awe-inspiring driving tech. Tim Levin/Insider
<ul><li>I drove Mercedes-Benz's new electric SUV: the EQE SUV. </li><li>It costs $77,900  [+5110 chars]",neutral,yes,1,1,"Mercedes-Benz's $100,000 electric SUV is an awesome Tesla rival  but its blob-like looks aren't for everyone The Mercedes EQE SUV is an awesome alternative to Tesla's Model X with controversial style.",Yes,"No, it is not related to Tesla.","Yes, it is related to Tesla.",No,"No, it is not possible to tell"
