,source_name,author,date,title,description,content
0,Business Insider,ssheth@businessinsider.com (Sonam Sheth),9/12/2023,"Elon Musk learned hypnosis as a child and managed to convince his sister that she was a dog and to eat raw bacon, a new book says","Elon Musk learned magic tricks and hypnosis as a kid and once used it on his little sister, according to a new biography about the SpaceX and Tesla CEO.","When Elon Musk was a kid, he learned hypnosis and convinced his younger sister that she was a dog and persuaded her to eat raw bacon.
That's according to a new biography, ""Elon Musk,"" by the author … [+938 chars]"
1,Fortune,Paige Hagy,9/12/2023,Elon Musk lives life like he’s playing a video game—from ‘demon mode” to gleaning life lessons from ‘Polytopia’,"""Elon Musk,"" a biography that recounts the childhood, career, and personal life of the billionaire, hit shelves on Tuesday.","Elon Musk had just finished playing a video game with Grimes when he made his offer to buy Twitter in April 2022. He and the musician, with whom he has three children, had stayed up until 5 a.m. play… [+4623 chars]"
2,CNN,Paul Glader,9/12/2023,Four takeaways from Walter Isaacson's biography of Elon Musk,"""You'll never be successful,"" Errol Musk in 1989 told his 17-year-old son Elon, who was then preparing to fly from South Africa to Canada to find relatives and a college education.","Youll never be successful, Errol Musk in 1989 told his 17-year-old son Elon, who was then preparing to fly from South Africa to Canada to find relatives and a college education. 
Thats one of the sc… [+8393 chars]"
3,Business Insider,Grace Dean,9/12/2023,"After Elon Musk spoke to Neuralink director Shivon Zilis about his population decline fears, she decided to have children. He suggested being her sperm donor.",Zilis said that choosing to have Musk as a sperm donor was an "easy decision" because she admires him more than anyone else on earth.,"nullChesnot/Getty Images
<ul><li>Elon Musk and Shivon Zilis decided to have children together after he spoke to her about population decline.</li><li>The tech mogul and Zilis, currently a Neuralink … [+3391 chars]"
4,Financial Post,Bloomberg News,9/12/2023,"Tesla gets $80-billion boost from analyst call, but not everyone buys it",Some investors find Tesla Inc.'s $500-billion projection from Morgan Stanley 'outlandish' given its already high valuation. Find out more.,"Some investors find the $500-billion projection from Morgan Stanley 'outlandish' given its already high valuation 
Author of the article:
Tesla cars parked in a lot at the Tesla Inc. factory in Fre… [+7144 chars]"
5,CNN,"Catherine Thorbecke, CNN",9/12/2023,Tesla shares jump after Morgan Stanley predicts Dojo supercomputer could add $500 billion in market value,"Tesla’s Dojo supercomputer could fuel a $500 billion jump in the electric vehicle maker’s market value, analysts at Morgan Stanley said in a note Monday.","Teslas Dojo supercomputer could fuel a $500 billion jump in the electric vehicle makers market value, analysts at Morgan Stanley said in a note Monday.
Shares of Tesla jumped more than 6% during ear… [+1678 chars]"
6,Fortune,Paolo Confino,9/12/2023,One of Elon Musk's favorite video games taught him the 'life lesson' that 'empathy is not an asset.' It's the opposite of what most CEOs preach,Walter Isaacson’s new tome on the world’s richest man reveals his love for “Polytopia” and his credo to "play life like a game.","Elon Musks love of video games is well documented. The night he decided to buy Twitter, the social media platform now known as X, he played video games until 5:30 a.m., his biographer Walter Isaacson… [+9133 chars]"
7,ABC News (AU),Elizabeth Byrne,9/12/2023,Canberra man accused of stealing Nick Kyrgios's Tesla wants case against him to be dropped,Lawyers for the 32-year-old accused of stealing Nick Kyrgios's Tesla say police are taking too long to hand over the full brief of evidence and the case should be abandoned.,"Lawyers for a man accused of stealing a Tesla car owned by tennis star Nick Kyrgios have asked the ACT Magistrates Court to abandon the case, because police have taken too long to produce the full br… [+2002 chars]"
8,Next Big Future,Brian Wang,9/13/2023,Billionaire Insider Ron Baron Reveals Tesla Secrets and Tesla’s Future,"Ron Baron is worth over $5 billion, manages about $45 billion in his stock funds and he and his funds are a top 20 owner in Tesla. He has picked multiple big winners in Tesla, SpaceX, Gartner, Arch and CoStar Group. As a big and early Tesla investor, Ron freq…","Ron Baron is worth over $5 billion, manages about $45 billion in his stock funds and he and his funds are a top 20 owner in Tesla. He has picked multiple big winners in Tesla, SpaceX, Gartner, Arch a… [+2453 chars]"
9,Next Big Future,Brian Wang,9/13/2023,Tesla Semi Crushing Freightliner eCascadia and BYD Semi in Real World Range Tests,The Run on Less Event is testing electric semi trucks with real world deliveries to test their range and payload performance. Tesla is getting up to double the range of many of these competing trucks. Pepsi Tesla semi trucks are getting 370 to 420 miles of ra…,The Run on Less Event is testing electric semi trucks with real world deliveries to test their range and payload performance. Tesla is getting up to double the range of many of these competing trucks… [+1691 chars]
10,BBC News,,9/13/2023,"'Overwhelming consensus' to regulate AI, says Elon Musk",The Tesla CEO was among the top tech leaders meeting with US lawmakers to discuss AI governance,"Top tech leaders, including Elon Musk, Mark Zuckerberg, Sundar Pichai and Bill Gates, met US lawmakers on Wednesday to discuss AI governance.
'This meeting may go down in history as being very impor… [+47 chars]"
11,Next Big Future,Brian Wang,9/13/2023,Making Sense of Tesla Semi Real World Ranges at 400-440 Miles,"There are real world range tests for Tesla Semi, Freightliner eCascadia and other electric Semi trucks at the Run for Less event. Truck average driving speed is critical to the comparison of the real world ranges. People who lived through the 1970s and 1980s …","There are real world range tests for Tesla Semi, Freightliner eCascadia and other electric Semi trucks at the Run for Less event. Truck average driving speed is critical to the comparison of the real… [+2578 chars]"
12,Business Insider,"Pete Syme,Grace Dean",9/13/2023,"During stressful periods at work and in his personal life, Elon Musk would stay awake at night and vomit. He says working so hard has 'taken its toll.'","Elon Musk struggled with stomach issues during challenging periods in his career and relationships, Walter Isaacson wrote.","Elon Musk.Jim Watson/Getty Images
<ul><li>Walter Isaacson's biography ""Elon Musk"" reveals the billionaire's struggles with stress.</li><li>Musk's partners have described him staying up all night and… [+3194 chars]"
13,ABC News,BARBARA ORTUTAY AP technology writer,9/13/2023,US says Elon Musk should not be immune to testifying about the former Twitter,The U.S. government says the former Twitter’s request to end oversight of its data privacy and security practices is “meritless” and owner Elon Musk should not be immune to testifying about the company since he has “first-hand knowledge” of the conduct...,The U.S. government says the former Twitter's request to end oversight of its data privacy and security practices is meritless and owner Elon Musk should not be immune to testifying about the company… [+3634 chars]
14,News.com.au,Lexie Cartwright,9/13/2023,Elon Musk shares photo of Amber Heard,Elon Musk has shared a private photo he took of Amber Heard while they were dating.,"Elon Musk has shared a private photo he took of Amber Heard while they were dating.
The Tesla founder’s controversial new biography Elon Musk, which was released with a flurry of headline-making lin… [+2886 chars]"
15,The Verge,Umar Shakir,9/13/2023,"Tesla unveils Powerwall 3, this time with a built-in solar inverter",Tesla’s Powerwall 3 has a built-in solar inverter for easier home emergency and solar power installs and is coming in 2024.,"Tesla unveils Powerwall 3, this time with a built-in solar inverter
Tesla unveils Powerwall 3, this time with a built-in solar inverter
 / Teslas latest home battery backup solution, Powerwall 3, i… [+2635 chars]"
16,The Verge,Casey Newton,9/13/2023,Nine wild details from the new Elon Musk biography,"Walter Isaacson’s Elon Musk biography brings new tales of Jack Dorsey, that Sergey Brin selfie, Grimes, and Musk’s favorite mobile game.","Nine wild details from the new Elon Musk biography
Nine wild details from the new Elon Musk biography
 / Walter Isaacson brings new tales of Jack Dorsey, that Sergey Brin selfie, and more.
ByCasey… [+10740 chars]"
17,Breitbart News,"Lucas Nolan, Lucas Nolan",9/14/2023,"Elon Musk Admits X/Twitter Has to 'Play Nice' with China to Avoid Tesla Trouble, Sees 'Two Sides' to Uyghur Genocide","Elon Musk, the billionaire CEO of Tesla and SpaceX and most recently the owner of X/Twitter, has recently come under scrutiny for his willingness to accommodate China's policies to safeguard Tesla's business interests based on revelations contained in the rec…","Elon Musk, the billionaire CEO of Tesla and SpaceX and most recently the owner of X/Twitter, has recently come under scrutiny for his willingness to accommodate China’s policies to safeguard Tesla’s … [+3440 chars]"
18,Al Jazeera English,Al Jazeera,9/14/2023,Taiwan claps back at Elon Musk after China comments,Taiwanese Foreign Minister Joseph Wu says Taiwan is 'not for sale' after Musk discusses Beijing's stance on the island.,"Taiwan has clapped back at Elon Musk after the billionaire businessman waded into the delicate issue of the islands relations with China.
Taiwanese Foreign Minister Joseph Wu said that Taiwan was no… [+2157 chars]"
19,Fortune,Orianna Rosa Royle,9/14/2023,Frontier Airlines CEO thinks workers got “lazy” during the pandemic,"It isn’t just Tesla founder Elon Musk that thinks workers (or more specifically, remote workers) are “lazy”, Frontier Airlines chief executive, Barry Biffle, recently weighed in on the debate.","It isnt just Tesla founder Elon Musk that thinks workers (or more specifically, remote workers) are lazyFrontier Airlines chief executive, Barry Biffle, recently weighed in on the debate.We got lazy … [+3937 chars]"
20,Breitbart News,"Alana Mastrangelo, Alana Mastrangelo",9/14/2023,Green Inferno: Tesla Bursts in Flames on Busy Australian Highway,"A Tesla burst into flames on a busy highway on Monday in the Southern Highlands region of Australia, sending firefighters on a difficult mission to battle the blaze. The fire started after the electric vehicle built by Elon Musk's company hit debris that fell…","A Tesla burst into flames on a busy highway on Monday in the Southern Highlands region of Australia, sending firefighters on a difficult mission to battle the blaze. The fire started after the electr… [+2298 chars]"
21,Wired,Will Knight,9/14/2023,Don't Count on Tesla's Dojo Supercomputer to Jump-Start an AI Revolution,Wall Street analysts predicted Tesla’s Dojo supercomputer could unlock a $500 billion ChatGPT-style breakthrough. Don't take it to the bank.,Youd have to be pretty brave to bet against the idea that applying more computing power and data to machine learninga recipe that birthed ChatGPTwont lead to further advances of some kind in artifici… [+3484 chars]
22,Wired,Alex Goy,9/14/2023,"Hyundai Kona Electric 2024 Review: Price, Specs, Release Date","The affordable Kona EV got a massive makeover with speedy charging, a delightfully futuristic design, and plenty of luxury touches.","Hyundais first-generation Kona Electric was something of a darling. It was efficient, looked good, and made electric motoring a little more accessible for those without Tesla money to play with. Now … [+3287 chars]"
