source_name,author,date,title,description,content,label,tesla_related,title_desc,title_label,title_score,content_label,content_score,description_label,description_score,title_desc_label,title_desc_score
Fortune,Jane Thier,9/12/2023,How Elon Musk lost a friend over AI: Google co-founder Larry Page just 'refused to hang out' after the Tesla CEO stole his top worker,"After Musk tried to sabotage Googles acquisition of DeepMind, he poached one of Pages most valuable scientists to OpenAI with a $1.9 million salary.","Teslas Elon Musk and Googles Larry Page dont talk anymore. Thats what it says, definitively, in Walter Isaacsons biography of Musk, published Tuesday. Musk detailed his falling out with Google co-fou [+4842 chars]",neutral,yes,"How Elon Musk lost a friend over AI: Google co-founder Larry Page just 'refused to hang out' after the Tesla CEO stole his top worker After Musk tried to sabotage Googles acquisition of DeepMind, he poached one of Pages most valuable scientists to OpenAI with a $1.9 million salary.",negative,0.7631450295448303,neutral,0.6580064296722412,neutral,0.500911295413971,negative,0.5816494822502136
Next Big Future,Brian Wang,9/12/2023,Bill Gates Tries to Profit by Driving Down Tesla Shares and is Confused by Elon Musk Anger,Bill Gates bet billions against Tesla in a method called short selling. Short selling involves borrowing a security from a broker and selling it on the open market. Short selling adds liquidity to a market by increasing the volume of buying and selling above ,Bill Gates bet billions against Tesla in a method called short selling. Short selling involves borrowing a security from a broker and selling it on the open market. Short selling adds liquidity to a  [+7361 chars],negative,yes,Bill Gates Tries to Profit by Driving Down Tesla Shares and is Confused by Elon Musk Anger Bill Gates bet billions against Tesla in a method called short selling. Short selling involves borrowing a security from a broker and selling it on the open market. Short selling adds liquidity to a market by increasing the volume of buying and selling above ,negative,0.6646159887313843,neutral,0.9068943858146667,neutral,0.8788170218467712,neutral,0.906563401222229
The Jerusalem Post,By REUTERS,9/12/2023,Putin hails Elon Musk as an 'outstanding person' and businessman,The Russian leader said Moscow planned to persevere with its own space program despite the failure of a mission to the Moon last month.,"Russian President Vladimir Putin on Tuesday hailed South African-born businessman Elon Musk as an ""outstanding person"" and businessman whose SpaceX company had become a major player in the space tran [+1562 chars]",neutral,no,Putin hails Elon Musk as an 'outstanding person' and businessman The Russian leader said Moscow planned to persevere with its own space program despite the failure of a mission to the Moon last month.,positive,0.6806164383888245,positive,0.8324558734893799,positive,0.8865401744842529,positive,0.7652321457862854
Fortune,Rachyl Jones,9/12/2023,"What do donkeys, dragons and Hawaii have in common? They all play a role in Elon Musk buying Twitter.","Musks purchase of Twitter fed his constant need to reach the next level, according to biographer.","Elon Musk lives for the drama. Thats evident in how he is running X, formerly known as Twitter. But before he challenged Mark Zuckerbeg to a cage fight, before he erected a glowing X on top of the co [+5076 chars]",neutral,no,"What do donkeys, dragons and Hawaii have in common? They all play a role in Elon Musk buying Twitter. Musks purchase of Twitter fed his constant need to reach the next level, according to biographer.",neutral,0.9371562004089355,neutral,0.942562997341156,neutral,0.8035590648651123,neutral,0.8997768759727478
Fortune,Christiaan Hetzner,9/12/2023,Elon Musks supercomputer Dojo added $70 billion to Teslas market cap. So what exactly is it?,Elon Musk's Tesla share price has jumped the equivalent of BMW Group's value after Morgan Stanley released a report on the potential of the A.I. dojo supercomputer.,"Teslas gonzo market cap is so enormous that its daily swings in value often exceed the sum total of most major automakers. On slow days it might only be the equivalent of Volvo or [hotlink]Nissan,[/h [+3926 chars]",positive,yes,Elon Musks supercomputer Dojo added $70 billion to Teslas market cap. So what exactly is it? Elon Musk's Tesla share price has jumped the equivalent of BMW Group's value after Morgan Stanley released a report on the potential of the A.I. dojo supercomputer.,neutral,0.9238158464431763,neutral,0.8809127807617188,positive,0.9360656142234802,positive,0.5452249050140381
Business Insider,Kwan Wei Kevin Tan,9/12/2023,"Elon Musk's biographer says Musk has 'multiple' personalities  he can be 'brutal,' and also 'frightening and inspiring all at once'","""This is a person with multiple moods and modes and personalities, ranging from engineering mode to demon mode,"" said Walter Isaacson.","Elon Musk.Chesnot via Getty Images
<ul><li>Elon Musk's biographer says Musk ""is a person with multiple moods and modes and personalities.""</li><li>Walter Isaacson told The Atlantic that Musk's many  [+1825 chars]",neutral,no,"Elon Musk's biographer says Musk has 'multiple' personalities  he can be 'brutal,' and also 'frightening and inspiring all at once' ""This is a person with multiple moods and modes and personalities, ranging from engineering mode to demon mode,"" said Walter Isaacson.",neutral,0.7159315943717957,neutral,0.8782625794410706,neutral,0.8941041231155396,neutral,0.85165935754776
Fortune,Irina Ivanova,9/12/2023,Elon Musk sent a graphic mid-childbirth picture of Grimes to friends and family and was surprised when she got upset,"When Musk shared the photo with Grimes father and brothers, she said It was his Aspergers coming out in full.","Elon Musk, the worlds richest man and an avid proponent of having children, was so excited when his first child with the artist Grimes was born, he sent photos of the procedure to both their families [+3417 chars]",neutral,no,"Elon Musk sent a graphic mid-childbirth picture of Grimes to friends and family and was surprised when she got upset When Musk shared the photo with Grimes father and brothers, she said It was his Aspergers coming out in full.",neutral,0.8919835686683655,neutral,0.9254893660545349,neutral,0.9020674228668213,neutral,0.7524418830871582
TechCrunch,Rebecca Bellan,9/12/2023,Tesla robotaxi concept looks like a two-seater Cybertruck,"An image of a Cybertruck-inspired Tesla robotaxi concept was revealed in the new Elon Musk biography by Walter Isaacson that launched Tuesday.  The two-door,...","An image of a Cybertruck-inspired Tesla robotaxi concept was revealed in the new Elon Musk biography by Walter Isaacson that launched Tuesday.
The two-door, two-seater, ""Cybertruck-like"" compact veh [+4724 chars]",neutral,yes,"Tesla robotaxi concept looks like a two-seater Cybertruck An image of a Cybertruck-inspired Tesla robotaxi concept was revealed in the new Elon Musk biography by Walter Isaacson that launched Tuesday.  The two-door,...",neutral,0.9229718446731567,neutral,0.9305942058563232,neutral,0.9167619943618774,neutral,0.9202674627304077
Business Insider,"Grace Kay,Grace Dean",9/12/2023,"Elon Musk 'associates love with being mean or abusive,' Grimes told biographer Walter Isaacson","""When we hang out, I make sure I'm with the right Elon,"" Grimes told Elon Musk biographer Walter Isaacson. ""There are guys in that head who don't like me.""","Grimes told Walter Isaacson that Elon Musk ""associates love with being mean or abusive"" because of his father.Theo Wargo/Getty Images
<ul>
<li>Elon Musk ""associates love with being mean or abusive""  [+4780 chars]",neutral,no,"Elon Musk 'associates love with being mean or abusive,' Grimes told biographer Walter Isaacson ""When we hang out, I make sure I'm with the right Elon,"" Grimes told Elon Musk biographer Walter Isaacson. ""There are guys in that head who don't like me.""",neutral,0.5616244673728943,neutral,0.5445547699928284,neutral,0.7825674414634705,neutral,0.5228249430656433
Newsweek,Tom Norton,9/12/2023,Did Elon Musk Turn Off Starlink for Ukraine? What We Know,Excerpt from new Elon Musk biography had said the billionaire effectively thwarted a Ukrainian sub attack,"Elon Musk's involvement in the war in Ukraine was spotlighted in a new biography released on Tuesday, which claimed the world's richest man directly intervened in an attempted attack on Russian warsh [+4218 chars]",neutral,no,Did Elon Musk Turn Off Starlink for Ukraine? What We Know Excerpt from new Elon Musk biography had said the billionaire effectively thwarted a Ukrainian sub attack,neutral,0.9321566224098206,neutral,0.7312638163566589,neutral,0.8299420475959778,neutral,0.887954592704773
